legacy_machine_type,vcpus,memory_mbs,db_custom_cpu_ram
db-n1-standard-1,1,3840,db-custom-1-3840
db-n1-standard-2,2,7680,db-custom-2-7680
db-n1-standard-4,4,15360,db-custom-4-15360
db-n1-standard-8,8,30720,db-custom-8-30720
db-n1-standard-16,16,61440,db-custom-16-61440
db-n1-standard-32,32,122880,db-custom-32-122880
db-n1-standard-64,64,245760,db-custom-64-245760
db-n1-standard-96,96,368640,db-custom-96-368640
db-n1-highmem-2,2,13312,db-custom-2-13312
db-n1-highmem-4,4,26624,db-custom-4-26624
db-n1-highmem-8,8,53248,db-custom-8-53248
db-n1-highmem-16,16,106496,db-custom-16-106496
db-n1-highmem-32,32,212992,db-custom-32-212992
db-n1-highmem-64,64,425984,db-custom-64-425984
db-n1-highmem-96,96,638976,db-custom-96-638976
